naselje;grad_opcina;zupanija;stanovnistvo
Donje Zagorje;Ogulin;Karlovačka županija;198
Donje Zdjelice;Virje;Koprivničko-križevačka županija;63
Donji Andrijevci;Donji Andrijevci;Brodsko-posavska županija;2097
Donji Babin Potok;Vrhovine;Ličko-senjska županija;72
Donji Bitelić;Hrvace;Splitsko-dalmatinska županija;237
Donji Bjelovac;Donji Kukuruzari;Sisačko-moslavačka županija;31
Donji Bogićevci;Dragalić;Brodsko-posavska županija;45
Donji Borki;Sirač;Bjelovarsko-bilogorska županija;46
Donji Brgat;Župa dubrovačka;Dubrovačko-neretvanska županija;133
Donji Budački;Krnjak;Karlovačka županija;99
Donji Bukovac Žakanjski;Žakanje;Karlovačka županija;83
Donji Cerovac;Slunj;Karlovačka županija;116
Donji Crnogovci;Staro Petrovo Selo;Brodsko-posavska županija;106
Donji Daruvar;Daruvar;Bjelovarsko-bilogorska županija;624
Donji Desinec;Jastrebarsko;Zagrebačka županija;737
Donji Dobretin;Dvor;Sisačko-moslavačka županija;7
Donji Dolac;Omiš;Splitsko-dalmatinska županija;284
Donji Draganec;Čazma;Bjelovarsko-bilogorska županija;120
Donji Dragičevci;Čazma;Bjelovarsko-bilogorska županija;35
Donji Dragonožec;;Grad Zagreb;583
Donji Dubovec;Križevci;Koprivničko-križevačka županija;30
Donji Emovci;Požega;Požeško-slavonska županija;136
Donji Fodrovec;Sveti Petar Orehovec;Koprivničko-križevačka županija;156
Donji Furjan;Slunj;Karlovačka županija;39
Donji Grahovljani;Pakrac;Požeško-slavonska županija;18
Donji Gučani;Brestovac;Požeško-slavonska županija;75
Donji Hrastovac;Sunja;Sisačko-moslavačka županija;143
Donji Hrašćan;Donji Kraljevec;Međimurska županija;420
Donji Hruševec;Kravarsko;Zagrebačka županija;271
Donji Humac;Nerežišća;Splitsko-dalmatinska županija;173
Donji Jalšovec;Desinić;Krapinsko-zagorska županija;43
Donji Javoranj;Dvor;Sisačko-moslavačka županija;50
Donji Karin;Benkovac;Zadarska županija;152
Donji Kašić;Benkovac;Zadarska županija;69
Donji Klasnić;Glina;Sisačko-moslavačka županija;45
Donji Kneginec;Gornji Kneginec;Varaždinska županija;650
Donji Koncovčak;Selnica;Međimurska županija;244
Donji Kosinj;Perušić;Ličko-senjska županija;318
Donji Kraljevec;Donji Kraljevec;Međimurska županija;1407
Donji Kraljevec;Hrašćina;Krapinsko-zagorska županija;118
Donji Kremen;Slunj;Karlovačka županija;42
Donji Kukuruzari;Donji Kukuruzari;Sisačko-moslavačka županija;188
Donji Kućan;Varaždin;Varaždinska županija;694
Donji Laduč;Brdovec;Zagrebačka županija;814
Donji Lapac;Donji Lapac;Ličko-senjska županija;677
Donji Lađevac;Slunj;Karlovačka županija;34
Donji Lipovac;Nova Kapela;Brodsko-posavska županija;184
Donji Lipovčani;Čazma;Bjelovarsko-bilogorska županija;60
Donji Lović;Ozalj;Karlovačka županija;11
Donji Ložac;Delnice;Primorsko-goranska županija;5
Donji Macelj;Đurmanec;Krapinsko-zagorska županija;528
Donji Marinkovac;Dubrava;Zagrebačka županija;64
Donji Markovac;Farkaševac;Zagrebačka županija;42
Donji Maslarac;Sokolovac;Koprivničko-križevačka županija;63
Donji Meljani;Slatina;Virovitičko-podravska županija;206
Donji Mihaljevec;Sveta Marija;Međimurska županija;616
Donji Miholjac;Donji Miholjac;Osječko-baranjska županija;5330
Donji Miklouš;Čazma;Bjelovarsko-bilogorska županija;146
Donji Mosti;Kapela;Bjelovarsko-bilogorska županija;168
Donji Muć;Muć;Splitsko-dalmatinska županija;541
Donji Nikšić;Slunj;Karlovačka županija;171
Donji Okrug;Delnice;Primorsko-goranska županija;1
Donji Oštrc;Žumberak;Zagrebačka županija;43
Donji Oštri Vrh Ozaljski;Ozalj;Karlovačka županija;45
Donji Poloj;Slunj;Karlovačka županija;8
Donji Popovac;Slunj;Karlovačka županija;12
Donji Prnjarovec;Križ;Zagrebačka županija;58
Donji Proložac;Proložac;Splitsko-dalmatinska županija;1288
Donji Pustakovec;Donji Kraljevec;Međimurska županija;241
Donji Rogolji;Okučani;Brodsko-posavska županija;24
Donji Selkovac;Glina;Sisačko-moslavačka županija;0
Donji Sjeničak;Karlovac;Karlovačka županija;52
Donji Skrad;Barilović;Karlovačka županija;12
Donji Slatinik;Podcrkavlje;Brodsko-posavska županija;140
Donji Sređani;Dežanovac;Bjelovarsko-bilogorska županija;139
Donji Stupnik;Stupnik;Zagrebačka županija;1447
Donji Tkalec;Vrbovec;Zagrebačka županija;91
Donji Trpuci;;Grad Zagreb;446
Donji Turni;Delnice;Primorsko-goranska županija;0
Donji Vaganac;Plitvička Jezera;Ličko-senjska županija;37
Donji Varoš;Stara Gradiška;Brodsko-posavska županija;206
Donji Velemerić;Barilović;Karlovačka županija;167
Donji Vidovec;Donji Vidovec;Međimurska županija;1197
Donji Viduševac;Glina;Sisačko-moslavačka županija;141
Donji Vinjani;Imotski;Splitsko-dalmatinska županija;1735
Donji Vukojevac;Lekenik;Sisačko-moslavačka županija;482
Donji Vukšinac;Dubrava;Zagrebačka županija;100
Donji Vukšići;Vrbovsko;Primorsko-goranska županija;7
Donji Vučkovići;Vrbovsko;Primorsko-goranska županija;16
Donji Zagon;Novi Vinodolski;Primorsko-goranska županija;114
Donji Zbilj;Desinić;Krapinsko-zagorska županija;104
Donji Zebanec;Selnica;Međimurska županija;173
Donji Zvečaj;Duga Resa;Karlovačka županija;180
Donji Čaglić;Lipik;Požeško-slavonska županija;225
Donji Čehi;;Grad Zagreb;243
Donji Čemehovec;Dubravica;Zagrebačka županija;29
Donji Šajn;Brod Moravice;Primorsko-goranska županija;0
Donji Šehovac;Brod Moravice;Primorsko-goranska županija;0
Donji Škrnik;Kumrovec;Krapinsko-zagorska županija;148
Donji Štrbci;Donji Lapac;Ličko-senjska županija;7
Donji Žagari;Čabar;Primorsko-goranska županija;11
Donji Žirovac;Dvor;Sisačko-moslavačka županija;28
Dopsin;Vladislavci;Osječko-baranjska županija;374
Došen Dabar;Karlobag;Ličko-senjska županija;0
Draga;Velika;Požeško-slavonska županija;218
Draga Bašćanska;Baška;Primorsko-goranska županija;300
Draga Lukovdolska;Vrbovsko;Primorsko-goranska županija;18
Draga Svetojanska;Jastrebarsko;Zagrebačka županija;121
Dragalić;Dragalić;Brodsko-posavska županija;454
Draganić;Draganić;Karlovačka županija;2541
Draganje Selo;Samobor;Zagrebačka županija;77
Draganlug;Čaglin;Požeško-slavonska županija;0
Draganovec;Koprivnica;Koprivničko-križevačka županija;444
Drage;Pakoštane;Zadarska županija;933
Drage;Rakovica;Karlovačka županija;18
Dragljane;Vrgorac;Splitsko-dalmatinska županija;49
Dragonoš;Samobor;Zagrebačka županija;13
Dragoslavec;Sveti Juraj na Bregu;Međimurska županija;351
Dragoslavec Breg;Gornji Mihaljevec;Međimurska županija;116
Dragoslavec Selo;Gornji Mihaljevec;Međimurska županija;200
Dragotin;Trnava;Osječko-baranjska županija;191
Dragotina;Glina;Sisačko-moslavačka županija;57
Dragotinci;Petrinja;Sisačko-moslavačka županija;38
Dragovanščak;Jastrebarsko;Zagrebačka županija;66
Dragovci;Nova Kapela;Brodsko-posavska županija;264
Dragove;Sali;Zadarska županija;18
Dragović;Pakrac;Požeško-slavonska županija;45
Dragovići;Vrbovsko;Primorsko-goranska županija;6
Dragozetići;Cres;Primorsko-goranska županija;22
Dragoševci;Ozalj;Karlovačka županija;9
Dragošička;Rugvica;Zagrebačka županija;326
Draguzeti;Barban;Istarska županija;75
Draguć;Cerovlje;Istarska županija;56
Drakulić Rijeka;Plitvička Jezera;Ličko-senjska županija;6
Dramalj;Crikvenica;Primorsko-goranska županija;1366
Drastin;Jelenje;Primorsko-goranska županija;38
Drače;Janjina;Dubrovačko-neretvanska županija;116
Dračevac Ninski;Poličnik;Zadarska županija;291
Dračevac – Monspinoso;Poreč – Parenzo;Istarska županija;167
Dračevica;Nerežišća;Splitsko-dalmatinska županija;63
Dračevo Polje;Vis;Splitsko-dalmatinska županija;9
Draše;Kraljevec na Sutli;Krapinsko-zagorska županija;145
Draškovac;Dvor;Sisačko-moslavačka županija;14
Draškovec;Prelog;Međimurska županija;539
Drašković;Breznica;Varaždinska županija;375
Drašnice;Podgora;Splitsko-dalmatinska županija;286
Drašći Vrh;Žumberak;Zagrebačka županija;17
Draž;Draž;Osječko-baranjska županija;355
Draževitići;Vrgorac;Splitsko-dalmatinska županija;152
Dražica;Veliki Grđevac;Bjelovarsko-bilogorska županija;103
Dražice;Jelenje;Primorsko-goranska županija;2064
Drenje;Drenje;Osječko-baranjska županija;462
Drenje;Raša;Istarska županija;49
Drenje Brdovečko;Brdovec;Zagrebačka županija;587
Drenje Šćitarjevsko;Velika Gorica;Zagrebačka županija;179
Drenov Bok;Jasenovac;Sisačko-moslavačka županija;82
Drenov Klanac;Otočac;Ličko-senjska županija;31
Drenovac Banski;Glina;Sisačko-moslavačka županija;24
Drenovac Osredački;Gračac;Zadarska županija;8
Drenovac Radučki;Gospić;Ličko-senjska županija;0
Drenovci;Drenovci;Vukovarsko-srijemska županija;1398
Drenovec;Varaždinske Toplice;Varaždinska županija;299
Drenovica Lipnička;Ribnik;Karlovačka županija;10
Drenčec;;Grad Zagreb;136
Drežnica;Ogulin;Karlovačka županija;356
Drežnik;Rešetari;Brodsko-posavska županija;316
Drežnik Brezovički;;Grad Zagreb;692
Drežnik Grad;Rakovica;Karlovačka županija;313
Drežnik Podokićki;Samobor;Zagrebačka županija;247
Drinak;Novi Vinodolski;Primorsko-goranska županija;8
Drinovci;Drniš;Šibensko-kninska županija;124
Drivenik;Vinodolska općina;Primorsko-goranska županija;332
Drlež;Dežanovac;Bjelovarsko-bilogorska županija;11
Drljanovac;Nova Rača;Bjelovarsko-bilogorska županija;193
Drljača;Sunja;Sisačko-moslavačka županija;184
Drnek;Orle;Zagrebačka županija;288
Drniš;Drniš;Šibensko-kninska županija;2752
Drnje;Drnje;Koprivničko-križevačka županija;805
Dropkovec;Gornja Rijeka;Koprivničko-križevačka županija;150
Dropčevec;Rakovec;Zagrebačka županija;74
Drum;Podbablje;Splitsko-dalmatinska županija;618
Druškovec;Maruševec;Varaždinska županija;326
Druškovec Gora;Hum na Sutli;Krapinsko-zagorska županija;68
Druškovec Humski;Hum na Sutli;Krapinsko-zagorska županija;360
Družbinec;Petrijanec;Varaždinska županija;508
Družilovec;Veliko Trgovišće;Krapinsko-zagorska županija;400
Drvenik;Gradac;Splitsko-dalmatinska županija;420
Drvenik;Konavle;Dubrovačko-neretvanska županija;40
Drvenik Mali;Trogir;Splitsko-dalmatinska županija;119
Drvenik Veliki;Trogir;Splitsko-dalmatinska županija;170
Drškovci;Požega;Požeško-slavonska županija;351
Držimurec;Mala Subotica;Međimurska županija;366
Duba;Slivno;Dubrovačko-neretvanska županija;4
Duba Konavoska;Konavle;Dubrovačko-neretvanska županija;68
Duba Pelješka;Trpanj;Dubrovačko-neretvanska županija;29
Duba Stonska;Ston;Dubrovačko-neretvanska županija;64
Dubac-Varsan;Novalja;Ličko-senjska županija;6
Dubci;Zadvarje;Splitsko-dalmatinska županija;0
Duboka;Komiža;Splitsko-dalmatinska županija;10
Duboka;Slivno;Dubrovačko-neretvanska županija;266
Duboka;Čaglin;Požeško-slavonska županija;38
Duboki Dol;Gračac;Zadarska županija;0
Dubovac;Gornji Bogićevci;Brodsko-posavska županija;262
Dubovec;Gornja Stubica;Krapinsko-zagorska županija;300
Dubovec Bisaški;Sveti Ivan Zelina;Zagrebačka županija;70
Dubovica;Veliki Bukovec;Varaždinska županija;257
Dubovik;Podcrkavlje;Brodsko-posavska županija;86
Dubočac;Bebrina;Brodsko-posavska županija;179
Duboševica;Draž;Osječko-baranjska županija;393
Dubranec;Velika Gorica;Zagrebačka županija;346
Dubrava;Dubrava;Zagrebačka županija;1233
Dubrava;Omiš;Splitsko-dalmatinska županija;305
Dubrava;Ston;Dubrovačko-neretvanska županija;161
Dubrava Križovljanska;Cestica;Varaždinska županija;216
Dubrava Pušćanska;Pušća;Zagrebačka županija;196
Dubrava Samoborska;Samobor;Zagrebačka županija;247
Dubrava Zabočka;Zabok;Krapinsko-zagorska županija;574
Dubrava kod Tisna;Tisno;Šibensko-kninska županija;154
Dubrava kod Šibenika;Šibenik;Šibensko-kninska županija;1117
Dubravci;Kanfanar;Istarska županija;5
Dubravci;Netretić;Karlovačka županija;152
Dubrave;Pojezerje;Dubrovačko-neretvanska županija;0
Dubrave;Slunj;Karlovačka županija;6
Dubravec;Klenovnik;Varaždinska županija;360
Dubravica;Dubravica;Zagrebačka županija;112
Dubravica;Dubrovnik;Dubrovačko-neretvanska županija;33
Dubravica;Metković;Dubrovačko-neretvanska županija;73
Dubravica Desinićka;Desinić;Krapinsko-zagorska županija;41
Dubravice;Skradin;Šibensko-kninska županija;509
Dubravka;Konavle;Dubrovačko-neretvanska županija;261
Dubravski Markovac;Dubrava;Zagrebačka županija;129
Dubravčani;Netretić;Karlovačka županija;218
Dubrovnik;Dubrovnik;Dubrovačko-neretvanska županija;26922
Dubrovčan;Veliko Trgovišće;Krapinsko-zagorska županija;742
Duga Gora;Generalski Stol;Karlovačka županija;51
Duga Luka;Labin;Istarska županija;30
Duga Međa;Zdenci;Virovitičko-podravska županija;154
Duga Resa;Duga Resa;Karlovačka županija;5380
Duga Rijeka;Rasinja;Koprivničko-križevačka županija;132
Dugače;Bosiljevo;Karlovačka županija;17
Duge Njive;Vrgorac;Splitsko-dalmatinska županija;71
Dugi Dol;Krnjak;Karlovačka županija;74
Dugi Rat;Dugi Rat;Splitsko-dalmatinska županija;3338
Dugnjevec;Kumrovec;Krapinsko-zagorska županija;65
Dugo Selo;Dugo Selo;Zagrebačka županija;11097
Dugo Selo Lasinjsko;Gvozd;Sisačko-moslavačka županija;31
Dugo Selo Lukačko;Lukač;Virovitičko-podravska županija;412
Dugobabe;Klis;Splitsko-dalmatinska županija;126
Dugopolje;Dugopolje;Splitsko-dalmatinska županija;3248
Dugopolje;Gračac;Zadarska županija;17
Duhovi;Garešnica;Bjelovarsko-bilogorska županija;79
Dujmić Selo;Ogulin;Karlovačka županija;114
Dukovec;Sveti Križ Začretje;Krapinsko-zagorska županija;219
Dulepska;Vrbovec;Zagrebačka županija;132
Dumače;Petrinja;Sisačko-moslavačka županija;240
Dumovec;;Grad Zagreb;840
Dunave;Konavle;Dubrovačko-neretvanska županija;147
Dunjak;Vojnić;Karlovačka županija;18
Dunjkovec;Nedelišće;Međimurska županija;860
Durlinci;Ozalj;Karlovačka županija;69
Dusina;Vrgorac;Splitsko-dalmatinska županija;471
Duzluk;Orahovica;Virovitičko-podravska županija;136
Duće;Dugi Rat;Splitsko-dalmatinska županija;1560
Dučići;Ozalj;Karlovačka županija;29
Dužica;Lekenik;Sisačko-moslavačka županija;288
Dvor;Dvor;Sisačko-moslavačka županija;809
Dvoranci;Pisarovina;Zagrebačka županija;174
Dvori;Kaštelir-Labinci – Castelliere-S. Domenica;Istarska županija;62
Dvorište;Krnjak;Karlovačka županija;29
Dvorište Vivodinsko;Ozalj;Karlovačka županija;22
Dvorišće;Glina;Sisačko-moslavačka županija;75
Dvorišće;Rakovec;Zagrebačka županija;150
Dvorišće Ozaljsko;Ozalj;Karlovačka županija;39
Dvorjanci;Duga Resa;Karlovačka županija;102
Dvornica;Rogoznica;Šibensko-kninska županija;117
Dvorska;Suhopolje;Virovitičko-podravska županija;11
Džaperovac;Vojnić;Karlovačka županija;7
Eminovci;Jakšić;Požeško-slavonska županija;561
Emovački Lug;Požega;Požeško-slavonska županija;23
Erdelj;Generalski Stol;Karlovačka županija;303
Erdovec;Križevci;Koprivničko-križevačka županija;191
Erdut;Erdut;Osječko-baranjska županija;561
Erkovčići;Buzet;Istarska županija;36
Ernestinovo;Ernestinovo;Osječko-baranjska županija;996
Ertić;Žakanje;Karlovačka županija;10
Ervenik;Ervenik;Šibensko-kninska županija;227
Ervenik;Zlatar Bistrica;Krapinsko-zagorska županija;64
Ervenik Zlatarski;Zlatar;Krapinsko-zagorska županija;23
Eržišće;Sveta Nedelja;Istarska županija;47
Fabci;Višnjan – Visignano;Istarska županija;45
Fajerovec;Gornja Rijeka;Koprivničko-križevačka županija;50
Falašćak;Samobor;Zagrebačka županija;106
Falinić Breg;Cestica;Varaždinska županija;89
Farini;Višnjan – Visignano;Istarska županija;48
Farkaševac;Farkaševac;Zagrebačka županija;287
Farkaševec Samoborski;Samobor;Zagrebačka županija;467
Fažana;Fažana – Fasana;Istarska županija;1788
Fažonci;Čabar;Primorsko-goranska županija;0
Ferdinandovac;Ferdinandovac;Koprivničko-križevačka županija;1352
Ferenci;Ozalj;Karlovačka županija;37
Ferenci;Vižinada – Visinada;Istarska županija;63
Ferežani;Sveti Petar Orehovec;Koprivničko-križevačka županija;83
Feričanci;Feričanci;Osječko-baranjska županija;1332
Ferketinec;Podturen;Međimurska županija;157
Ferovac;Kutjevo;Požeško-slavonska županija;74
Festinec;Gradec;Zagrebačka županija;57
Filipana;Marčana;Istarska županija;93
Filipi;Vižinada – Visinada;Istarska županija;28
Filipini;Poreč – Parenzo;Istarska županija;47
Filipići;Novi Marof;Varaždinska županija;108
Filipovac;Lipik;Požeško-slavonska županija;336
Filipovići;Sveti Ivan Zelina;Zagrebačka županija;73
Filozići;Cres;Primorsko-goranska županija;8
Finida – Finida;Umag – Umago;Istarska županija;363
Finčevec;Sveti Petar Orehovec;Koprivničko-križevačka županija;72
Fiorini – Fiorini;Brtonigla – Verteneglio;Istarska županija;166
Flengi;Vrsar – Orsera;Istarska županija;149
Florijan;Klanjec;Krapinsko-zagorska županija;6
Fodrovec Riječki;Gornja Rijeka;Koprivničko-križevačka županija;57
Foli;Svetvinčenat;Istarska županija;50
Forkuševci;Viškovci;Osječko-baranjska županija;355
Forčići;Buzet;Istarska županija;17
Fotez Breg;Donja Voća;Varaždinska županija;60
Frančići;Sveta Nedelja;Istarska županija;39
Frata;Tar-Vabriga – Torre-Abrega;Istarska županija;86
Fratrovci;Bosiljevo;Karlovačka županija;29
Fratrovci Ozaljski;Ozalj;Karlovačka županija;20
Frbežari;Čabar;Primorsko-goranska županija;30
Frkanovec;Sveti Juraj na Bregu;Međimurska županija;301
Frkašić;Udbina;Ličko-senjska županija;21
Frketić Selo;Netretić;Karlovačka županija;71
Frkljevci;Pleternica;Požeško-slavonska županija;287
Frkuljevec Mihovljanski;Mihovljan;Krapinsko-zagorska županija;80
Frkuljevec Peršaveski;Mače;Krapinsko-zagorska županija;48
Frnjolići;Sveti Lovreč;Istarska županija;0
Fuka;Gradec;Zagrebačka županija;79
Funtana;Funtana – Fontane;Istarska županija;911
Furjanići;Ozalj;Karlovačka županija;29
Fučkovac;Bosiljevo;Karlovačka županija;28
Fuškulin – Foscolino;Poreč – Parenzo;Istarska županija;221
Fužine;Fužine;Primorsko-goranska županija;597
Gabajeva Greda;Hlebine;Koprivničko-križevačka županija;124
Gaber;Desinić;Krapinsko-zagorska županija;93
Gabonjin;Dobrinj;Primorsko-goranska županija;191
Gaboš;Markušica;Vukovarsko-srijemska županija;363
Gabrili;Konavle;Dubrovačko-neretvanska županija;204
Gabrilovac;Đurđenovac;Osječko-baranjska županija;57
Gabrovec;Pregrada;Krapinsko-zagorska županija;44
Gage;Dvor;Sisačko-moslavačka županija;23
Gaj;Lipik;Požeško-slavonska županija;234
Gaj;Vrbovec;Zagrebačka županija;326
Gajac;Novalja;Ličko-senjska županija;86
Gajana;Vodnjan – Dignano;Istarska županija;185
Gajec;;Grad Zagreb;327
Gajine;Donji Lapac;Ličko-senjska županija;67
Gajić;Draž;Osječko-baranjska županija;232
Gala;Otok;Splitsko-dalmatinska županija;806
Galezova Draga;Ozalj;Karlovačka županija;25
Galgovo;Samobor;Zagrebačka županija;698
Galin;Ozalj;Karlovačka županija;0
Galižana;Vodnjan – Dignano;Istarska županija;1620
Galovac;Bjelovar;Bjelovarsko-bilogorska županija;358
Galovac;Galovac;Zadarska županija;1258
Galovec;Konjščina;Krapinsko-zagorska županija;117
Galovec Začretski;Sveti Križ Začretje;Krapinsko-zagorska županija;260
Galović Selo;Duga Resa;Karlovačka županija;65
Gambetići;Višnjan – Visignano;Istarska županija;15
Gamboci – Gambozzi;Buje – Buie;Istarska županija;100
Garbina – Garbina;Poreč – Parenzo;Istarska županija;70
Gardinovec;Belica;Međimurska županija;784
Gardun;Trilj;Splitsko-dalmatinska županija;68
Garešnica;Garešnica;Bjelovarsko-bilogorska županija;3294
Garešnički Brestovac;Garešnica;Bjelovarsko-bilogorska županija;769
Garica;Vrbnik;Primorsko-goranska županija;138
Garjak;Vrlika;Splitsko-dalmatinska županija;54
Garčin;Garčin;Brodsko-posavska županija;733
Gat;Belišće;Osječko-baranjska županija;608
Gata;Omiš;Splitsko-dalmatinska županija;599
Gazije;Feričanci;Osječko-baranjska županija;29
Gaćelezi;Vodice;Šibensko-kninska županija;181
Gaćeško Selo;Barilović;Karlovačka županija;4
Gaćište;Suhopolje;Virovitičko-podravska županija;143
Gačeša Selo;Vojnić;Karlovačka županija;28
Gačice;Ivanec;Varaždinska županija;289
Gašinci;Satnica Đakovačka;Osječko-baranjska županija;552
Gašparci;Delnice;Primorsko-goranska županija;11
Gdinj;Jelsa;Splitsko-dalmatinska županija;122
Gedići;Tar-Vabriga – Torre-Abrega;Istarska županija;136
Gejkovac;Vojnić;Karlovačka županija;147
Generalski Stol;Generalski Stol;Karlovačka županija;482
Gerovo;Čabar;Primorsko-goranska županija;593
Gerovo Tounjsko;Tounj;Karlovačka županija;41
Gerovski Kraj;Čabar;Primorsko-goranska županija;72
Gezinci;Podravska Moslavina;Osječko-baranjska županija;24
Gečkovec;Ivanec;Varaždinska županija;107
Giletinci;Cernik;Brodsko-posavska županija;189
Gizdavac;Muć;Splitsko-dalmatinska županija;109
Gladovec Kravarski;Kravarsko;Zagrebačka županija;194
Gladovec Pokupski;Pokupsko;Zagrebačka županija;161
Glavace;Otočac;Ličko-senjska županija;18
Glavani;Barban;Istarska županija;77
Glavat;Lastovo;Dubrovačko-neretvanska županija;0
Glavica;Bosiljevo;Karlovačka županija;35
Glavica;Pakrac;Požeško-slavonska županija;13
Glavica;Sukošan;Zadarska županija;178
Glavice;Sinj;Splitsko-dalmatinska županija;3597
Glavina Donja;Imotski;Splitsko-dalmatinska županija;1625
Glavina Gornja;Imotski;Splitsko-dalmatinska županija;302
Glavičani;Dvor;Sisačko-moslavačka županija;8
Glavnica Donja;;Grad Zagreb;506
Glavnica Gornja;;Grad Zagreb;227
Glavničica;;Grad Zagreb;213
Glibodol;Brinje;Ličko-senjska županija;7
Glina;Glina;Sisačko-moslavačka županija;4028
Glinice;Cetingrad;Karlovačka županija;12
Glinska Poljana;Petrinja;Sisačko-moslavačka županija;83
Glinsko Vrelo;Slunj;Karlovačka županija;39
Gljev;Sinj;Splitsko-dalmatinska županija;225
Globočec;Marija Bistrica;Krapinsko-zagorska županija;490
Globočec Ludbreški;Ludbreg;Varaždinska županija;418
Glogovac;Koprivnički Bregi;Koprivničko-križevačka županija;764
Glogovec Zagorski;Tuhelj;Krapinsko-zagorska županija;72
Glogovica;Podcrkavlje;Brodsko-posavska županija;163
Glogovo;Gračac;Zadarska županija;3
Glušci;Metković;Dubrovačko-neretvanska županija;53
Glušinja;Žumberak;Zagrebačka županija;14
Gnojnice;Cetingrad;Karlovačka županija;16
Godinjak;Staro Petrovo Selo;Brodsko-posavska županija;566
Gojanec;Varaždin;Varaždinska županija;611
Gojkovac;Cetingrad;Karlovačka županija;2
Gojlo;Kutina;Sisačko-moslavačka županija;281
Gola;Gola;Koprivničko-križevačka županija;779
Golaš;Bale – Valle;Istarska županija;120
Golenić;Slatina;Virovitičko-podravska županija;17
Goleši Žumberački;Ozalj;Karlovačka županija;2
Goli Breg;;Grad Zagreb;410
Goli Vrh;Klinča Sela;Zagrebačka županija;270
Goli Vrh;Rakovec;Zagrebačka županija;45
Goli Vrh Netretićki;Netretić;Karlovačka županija;3
Goli Vrh Ozaljski;Ozalj;Karlovačka županija;6
Golik;Delnice;Primorsko-goranska županija;7
Goliki;Brod Moravice;Primorsko-goranska županija;0
Golinci;Donji Miholjac;Osječko-baranjska županija;342
Golinja;Gvozd;Sisačko-moslavačka županija;19
Goljak;Jastrebarsko;Zagrebačka županija;46
Goljak Klanječki;Klanjec;Krapinsko-zagorska županija;60
Golo Brdo;Kaptol;Požeško-slavonska županija;221
Golo Brdo;Virovitica;Virovitičko-podravska županija;303
Golobrdac;Cernik;Brodsko-posavska županija;0
Golobrdci;Požega;Požeško-slavonska županija;278
Gologorica;Cerovlje;Istarska županija;237
Gologorički Dol;Cerovlje;Istarska županija;64
Golovik;Mošćenička Draga;Primorsko-goranska županija;58
Golubinjak;Dežanovac;Bjelovarsko-bilogorska županija;117
Golubić;Knin;Šibensko-kninska županija;654
Golubić;Obrovac;Zadarska županija;101
Golubići;Samobor;Zagrebačka županija;6
Golubići – Golobici;Oprtalj – Portole;Istarska županija;23
Golubovac Divuški;Dvor;Sisačko-moslavačka županija;61
Gomirje;Vrbovsko;Primorsko-goranska županija;255
Gondolići;Labin;Istarska županija;81
Gonjeva;Klinča Sela;Zagrebačka županija;42
Gora;Petrinja;Sisačko-moslavačka županija;232
Gora Glušići;Labin;Istarska županija;37
Gora Košnička;Desinić;Krapinsko-zagorska županija;91
Gora Veternička;Novi Golubovec;Krapinsko-zagorska županija;202
Goranec;;Grad Zagreb;297
Goranec;Klenovnik;Varaždinska županija;10
Gorani;Skrad;Primorsko-goranska županija;0
Gorači;Čabar;Primorsko-goranska županija;92
Gorenci;Vrbovsko;Primorsko-goranska županija;38
Gorica;Duga Resa;Karlovačka županija;61
Gorica;Pag;Zadarska županija;87
Gorica;Rasinja;Koprivničko-križevačka županija;111
Gorica;Sukošan;Zadarska županija;612
Gorica Jamnička;Pisarovina;Zagrebačka županija;99
Gorica Lipnička;Ribnik;Karlovačka županija;11
Gorica Miholečka;Sveti Petar Orehovec;Koprivničko-križevačka županija;48
Gorica Skradska;Skrad;Primorsko-goranska županija;2
Gorica Svetojanska;Jastrebarsko;Zagrebačka županija;114
Gorica Valpovačka;Belišće;Osječko-baranjska županija;144
Gorice;Dragalić;Brodsko-posavska županija;126
Gorice;Skradin;Šibensko-kninska županija;22
Gorinci;Generalski Stol;Karlovačka županija;78
Gorići;Otočac;Ličko-senjska županija;11
Goričan;Goričan;Međimurska županija;2343
Goričanec;Sveti Ivan Zelina;Zagrebačka županija;74
Goričanovec;Đurmanec;Krapinsko-zagorska županija;210
Goričica;Sveti Ivan Zelina;Zagrebačka županija;346
Goričice Dobranske;Generalski Stol;Karlovačka županija;37
Gorička;Dvor;Sisačko-moslavačka županija;37
Goričko;Koprivnički Ivanec;Koprivničko-križevačka županija;121
Goriš;Šibenik;Šibensko-kninska županija;127
Gorjakovo;Pregrada;Krapinsko-zagorska županija;296
Gorjani;Gorjani;Osječko-baranjska županija;794
Gorjani Sutinski;Radoboj;Krapinsko-zagorska županija;121
Gorkovec;Klanjec;Krapinsko-zagorska županija;12
Gorniki Vivodinski;Ozalj;Karlovačka županija;22
Gornja Batina;Zlatar;Krapinsko-zagorska županija;207
Gornja Bačuga;Petrinja;Sisačko-moslavačka županija;49
Gornja Bebrina;Klakar;Brodsko-posavska županija;393
Gornja Bistra;Bistra;Zagrebačka županija;1671
Gornja Brckovčina;Križevci;Koprivničko-križevačka županija;146
Gornja Brela;Brela;Splitsko-dalmatinska županija;154
Gornja Brusovača;Vojnić;Karlovačka županija;21
Gornja Bučica;Glina;Sisačko-moslavačka županija;84
Gornja Dobra;Skrad;Primorsko-goranska županija;38
Gornja Drenova;Sveti Ivan Zelina;Zagrebačka županija;269
