naselje;grad_opcina;zupanija;stanovnistvo
Batinjani;Pakrac;Požeško-slavonska županija;44
Batinjani;Đulovac;Bjelovarsko-bilogorska županija;193
Batinjska Rijeka;Đulovac;Bjelovarsko-bilogorska županija;29
Batinova Kosa;Topusko;Sisačko-moslavačka županija;31
Batinske;Kalinovac;Koprivničko-križevačka županija;69
Batlug;Gračišće;Istarska županija;119
Batnoga;Cetingrad;Karlovačka županija;65
Batomalj;Baška;Primorsko-goranska županija;127
Batrina;Nova Kapela;Brodsko-posavska županija;861
Baturi;Glina;Sisačko-moslavačka županija;0
Bazgalji;Gračišće;Istarska županija;230
Bazli;Čabar;Primorsko-goranska županija;4
Baćin;Hrvatska Dubica;Sisačko-moslavačka županija;146
Baćin Dol;Cernik;Brodsko-posavska županija;302
Baćina;Ploče;Dubrovačko-neretvanska županija;513
Bačevac;Gradina;Virovitičko-podravska županija;285
Bačkovica;Velika Pisanica;Bjelovarsko-bilogorska županija;27
Bačva;Višnjan – Visignano;Istarska županija;16
Bađinec;Dubrava;Zagrebačka županija;135
Bašanija – Bassania;Umag – Umago;Istarska županija;193
Bašarinka – Balzarini;Poreč – Parenzo;Istarska županija;106
Baška;Baška;Primorsko-goranska županija;899
Baška Voda;Baška Voda;Splitsko-dalmatinska županija;1766
Baške Oštarije;Karlobag;Ličko-senjska županija;28
Baškoti;Višnjan – Visignano;Istarska županija;51
Baštijani;Jelenje;Primorsko-goranska županija;14
Bebrina;Bebrina;Brodsko-posavska županija;372
Bedekovčina;Bedekovčina;Krapinsko-zagorska županija;3119
Bedenec;Ivanec;Varaždinska županija;600
Bedenica;Bedenica;Zagrebačka županija;483
Bedenik;Nova Rača;Bjelovarsko-bilogorska županija;359
Bedenička;Velika Pisanica;Bjelovarsko-bilogorska županija;13
Beder;Samobor;Zagrebačka županija;68
Bednja;Bednja;Varaždinska županija;596
Bednjica;Lepoglava;Varaždinska županija;171
Begi;Vrsar – Orsera;Istarska županija;31
Begluci;Gračac;Zadarska županija;59
Begovac;Saborsko;Karlovačka županija;34
Begovača;Berek;Bjelovarsko-bilogorska županija;31
Begovići;Petrinja;Sisačko-moslavačka županija;53
Begovo Brdo;Cetingrad;Karlovačka županija;0
Begovo Brdo Žumberačko;Krašić;Zagrebačka županija;8
Begovo Razdolje;Mrkopalj;Primorsko-goranska županija;36
Beketinci;Čepin;Osječko-baranjska županija;505
Beketinec;Križevci;Koprivničko-križevačka županija;31
Bektež;Kutjevo;Požeško-slavonska županija;296
Bela;Novi Marof;Varaždinska županija;54
Bela Vodica;Delnice;Primorsko-goranska županija;28
Belaj;Barilović;Karlovačka županija;150
Belaj;Cerovlje;Istarska županija;12
Belajska Vinica;Duga Resa;Karlovačka županija;163
Belajske Poljice;Barilović;Karlovačka županija;566
Belajski Malinci;Barilović;Karlovačka županija;41
Belanovo Selo;Rasinja;Koprivničko-križevačka županija;37
Belavići;Duga Resa;Karlovačka županija;274
Belavići;Marčana;Istarska županija;22
Belec;Zlatar;Krapinsko-zagorska županija;316
Belej;Mali Lošinj;Primorsko-goranska županija;40
Beletinec;Sveti Ilija;Varaždinska županija;865
Beli;Cres;Primorsko-goranska županija;54
Beli Manastir;Beli Manastir;Osječko-baranjska županija;6327
Belica;Belica;Međimurska županija;2038
Belinsko Selo;Ozalj;Karlovačka županija;2
Belišće;Belišće;Osječko-baranjska županija;5354
Beljevina;Đurđenovac;Osječko-baranjska županija;595
Belo;Delnice;Primorsko-goranska županija;6
Belo Selo;Fužine;Primorsko-goranska županija;66
Beloslavec;Bedenica;Zagrebačka županija;218
Belovar;;Grad Zagreb;354
Belovar Zlatarski;Bedekovčina;Krapinsko-zagorska županija;98
Belošići;Ozalj;Karlovačka županija;23
Belski Ravan;Skrad;Primorsko-goranska županija;0
Belčići;Jastrebarsko;Zagrebačka županija;70
Bencani – Benzani;Oprtalj – Portole;Istarska županija;5
Beničanci;Magadenovac;Osječko-baranjska županija;395
Benkovac;Benkovac;Zadarska županija;2484
Benkovac;Okučani;Brodsko-posavska županija;78
Benkovac Fužinski;Fužine;Primorsko-goranska županija;40
Benkovačko Selo;Benkovac;Zadarska županija;619
Benkovec;Bednja;Varaždinska županija;187
Benkovec Petrovski;Petrovsko;Krapinsko-zagorska županija;116
Benkovo;Pregrada;Krapinsko-zagorska županija;303
Benčani;Višnjan – Visignano;Istarska županija;18
Benčići;Žminj;Istarska županija;112
Berak;Tompojevci;Vukovarsko-srijemska županija;277
Beram;Pazin;Istarska županija;222
Beravci;Velika Kopanica;Brodsko-posavska županija;611
Berek;Berek;Bjelovarsko-bilogorska županija;395
Beretinec;Beretinec;Varaždinska županija;988
Berislavec;Sveti Ivan Zelina;Zagrebačka županija;39
Bertelovci;Jakšić;Požeško-slavonska županija;139
Bertoši;Pazin;Istarska županija;392
Bestovje;Sveta Nedelja;Zagrebačka županija;2236
Bestrma;Sunja;Sisačko-moslavačka županija;71
Beter;Klinča Sela;Zagrebačka županija;163
Betina;Tisno;Šibensko-kninska županija;718
Bezavina;Veliko Trgovišće;Krapinsko-zagorska županija;80
Beč;Bosiljevo;Karlovačka županija;7
Bečic;Oriovac;Brodsko-posavska županija;95
Bešinci;Kaptol;Požeško-slavonska županija;50
Bešlinec;Kloštar Ivanić;Zagrebačka županija;376
Bibali – Bibali;Buje – Buie;Istarska županija;105
Bibinje;Bibinje;Zadarska županija;3962
Bibići;Svetvinčenat;Istarska županija;139
Bicko Selo;Garčin;Brodsko-posavska županija;432
Bijela;Sirač;Bjelovarsko-bilogorska županija;27
Bijela Gorica;Marija Gorica;Zagrebačka županija;146
Bijela Loza;Podgorač;Osječko-baranjska županija;123
Bijela Stijena;Okučani;Brodsko-posavska županija;7
Bijele Vode;Glina;Sisačko-moslavačka županija;33
Bijele Zemlje – Terre Bianche;Grožnjan – Grisignana;Istarska županija;70
Bijeli Klanac;Krnjak;Karlovačka županija;3
Bijeli Vir;Zažablje;Dubrovačko-neretvanska županija;211
Bijeljevina Orahovička;Orahovica;Virovitičko-podravska županija;11
Bijelnik;Petrinja;Sisačko-moslavačka županija;34
Bijelo Brdo;Erdut;Osječko-baranjska županija;1517
